title,text,url,source
NUPENG accuses Dangote of sponsoring division among tanker drivers,"The Nigeria Union of Petroleum and Natural Gas Workers has accused the Dangote Petroleum Refinery of sponsoring division within its Petroleum Tanker Drivers branch, resisting workers’ rights to unionisation, and deploying what it described as “falsehoods” to undermine the union.

NUPENG also accused the company of using a “Greek gift” of free nationwide petroleum delivery to undermine the union and stifle competition.

In a statement signed by its National Executive President, Williams Akporeha, and the General Secretary, Afolabi Olawale, on Friday, the union dismissed a press release by the Dangote Group on Thursday as “an epitome of unconscionable capitalist falsehood aimed at hoodwinking Nigerians and crushing NUPENG.”

On Thursday, the Dangote Petroleum Refinery dismissed recent allegations made by the NUPENG that it banned tanker drivers from joining the union, insisting that claims of anti-labour practices, monopolistic behaviour, and planned fuel price hikes are “entirely unfounded”.

NUPENG, on Monday, shut down depots, protesting that the Dangote refinery did not allow the newly recruited drivers for its 4,000 compressed natural gas-powered trucks to join the union.

The shutdown of depots lasted till Tuesday, when it was suspended following an agreement reached by both parties at a meeting organised by the Ministry of Labour and Employment.

However, on Thursday, NUPENG said Dangote was not ready to abide by the terms of the agreement.

But in a statement made available to our correspondent by the spokesman for the Dangote Group, Anthony Chiejina, the company stated that the allegations that it was undermining union activities and threatening workers’ welfare through its new deployment of CNG-powered trucks were not true.

The Dangote refinery reiterated its full support for constitutionally protected labour rights, stating that employees are free to affiliate with any recognised trade union.

Reacting on Friday, NUPENG alleged that despite signing a Memorandum of Understanding on September 9, which it said acknowledged the company’s initial resistance to unionisation, the Dangote refinery on September 11, 2025, instructed drivers to remove NUPENG stickers from their trucks and replace them with those of the newly formed Direct Trucking Company Drivers Association, allegedly created by the management.

“Our members have stoutly resisted this development,” the statement said, adding that the refinery has been attempting to sponsor parallel structures within the PTD branch since 2023 by recruiting members who had lost union elections into the DTCDA.

NUPENG also linked some of the individuals supporting the company in the media to ongoing criminal cases.

The union further warned Nigerians against what it described as the “Greek gift” of free nationwide petroleum delivery by the Dangote refinery, alleging that the move was designed to stifle competition and force drivers into the company-controlled association.

“It is on record that Dangote Group does not allow unionisation in its cement and sugar plants across Nigeria”, NUPENG claimed, stressing that the same anti-union stance is now being extended to refinery workers.

The union called on Nigerians and the international community to resist any attempt to deny refinery workers and drivers their right to freedom of association and unionisation, warning that its leaders must not be harmed in the course of the struggle.

“Our solidarity remains constant, for the union makes us strong”, the statement concluded.",https://punchng.com/nupeng-accuses-dangote-of-sponsoring-division-among-tanker-drivers/,https://punchng.com
VIDEO: Hilda Baci washes giant pot ahead of record-breaking jollof rice attempt,"Celebrity chef and Guinness World Record holder Hilda Baci has reassured fans and food enthusiasts of the hygiene of the giant pot she intends to use for her record-breaking jollof rice attempt at Eko Hotel and Suites in Lagos.

In an Instagram post shared on Friday, Baci said she personally washed the massive six-metre-wide pot using a branded detergent before the event kicked off.

“Yes, I can officially confirm this pot is squeaky clean! I personally rolled up my sleeves and washed it myself,” she wrote, tagging the detergent brand.

“In just a few hours, this same pot will be home to thousands of servings of Nigerian Jollof history in the making,” she added,

In an accompanying video, the chef was seen inside the custom-fabricated pot as she scrubbed its interior.

“I know you’re probably about to pop your eyeballs out. Why is she inside the pot?” she said jokingly.

“The reason I’m inside the pot at this moment is because I need to wash the pot.

“I can assure you that once I am done washing the interior of the pot and I’ve gotten rid of all the liquid, I’m going to rinse it again, and I have brand new mopsticks that I would be using to clean it once again before we use it to cook for you.”

Baci promised that the pot would be fully sanitised before the cooking began and pledged to serve “the most amazing, hygienic food you’ve ever eaten.”

PUNCH Online reports that the free event, organised in partnership with seasoning brand Gino, is expected to draw more than 20,000 people as Baci attempts to cook the world’s largest pot of Nigerian jollof rice.

Baci made headlines in May 2023 after completing a 100-hour cooking marathon in Lagos, a feat that earned her global recognition through the Guinness World Records.

Watch the video below:",https://punchng.com/video-hilda-baci-washes-giant-pot-ahead-of-record-breaking-jollof-rice-attempt/,https://punchng.com
"Air Peace faults NSIB drug, alcohol claims, insists on safety record","The management of Air Peace has reacted to media reports based on a purported preliminary report by the Nigerian Safety Investigation Bureau, regarding an incident involving one of its aircraft at the Port Harcourt International Airport on July 13, 2025.

The airline’s reaction was contained in a statement signed by its management and shared on its official X account on Friday.

Air Peace, which operates domestic and regional routes, has in recent years positioned itself as Nigeria’s flagship private carrier, with a reputation for relatively strong operational standards in an industry often plagued by safety concerns.

The airline is also IOSA-certified, a global safety benchmark by the International Air Transport Association.

PUNCH Online reports that the NSIB on Friday indicted an Air Peace pilot and a Co-pilot for taking hard drugs and alcohol.

The accident investigators tested the crew positive for the substances after the aircraft they flew was involved in a runway excursion at the Port Harcourt International Airport on July 13, 2025.

This was contained in a preliminary report signed by the Director of Public Affairs and Family Assistance at Nigerian Safety Investigation Bureau, Mrs Bimbo Olawumi Oladeji, made available to PUNCH Online on Friday.

However, reacting to the report, on Friday, the airline’s statement partly read: “Our attention has been drawn to media stories on a purported preliminary report by the Nigerian Safety Investigation Bureau (NSIB) currently circulating online and in the media regarding the incident involving one of our aircraft at Port Harcourt on July 13, 2025.

“We are yet to receive any official communications from the NSIB on such findings over a month after the incident and after the testing of the crew for alcohol, which took place in less than an hour of the incident.”

The carrier emphasised that it places the highest priority on safety, transparency, and compliance, describing the report as misleading.

“As a responsible airline, we place utmost priority on safety, transparency, and compliance, and it is important to set the record straight,” the statement said.

The airline further explained its internal policies on crew discipline, stating, “Air Peace conducts frequent alcohol and drug tests on our crew. We have a very strict alcohol use policy that is stricter than the 8 hours before the flight as provided in the regulations. Drug use is a NO-NO!”

Providing details of actions taken after the Port Harcourt incident, Air Peace revealed that the captain of the affected flight was grounded.

“The captain of the affected flight was grounded and relieved from further flight duty till date for failure to adhere to Crew Resource Management (CRM) principles and for disregarding standard go-around procedures as advised by his co-pilot but not for testing positive to the breathalyser test, as the result was not communicated to us by NSIB to date”, the airline’s statement added.

However, the airline defended the co-pilot, saying he acted professionally during the incident. “Contrary to reports in the media, the First Officer (Co-pilot), who demonstrated professionalism in calling for a go-around to his captain, has been reinstated into active flying duties, with full approval from the Nigerian Civil Aviation Authority (NCAA).

“The NCAA cleared him. If he was involved in drug or alcohol use, the Nigerian Civil Aviation Authority would not have cleared him to resume flight duties”, it stated.

The airline added that if the relieved captain’s test result later proves positive, then it would “increase the frequency of our alcohol and drug tests on our crew.”

Air Peace also stressed the importance of retraining and stricter monitoring going forward.

“Again, the importance of Enhanced Crew Resource Management Training cannot be overemphasised. We will intensify strict Fitness-for-Duty checks and Stronger Internal Monitoring to prevent any breach of our zero-tolerance safety policy”, the statement continued.

Reassuring passengers and the Nigerian public, the airline added: “Air Peace has consistently maintained a strong safety record and strictly implements global best practices in all aspects of its operations, and we reassure our esteemed passengers and the Nigerian public that safety will never be compromised in Air Peace.”

The July 13, 2025, incident at Port Harcourt International Airport reportedly involved a go-around manoeuvre initiated by the co-pilot after the captain allegedly failed to adhere to standard landing procedures.

Media reports suggested that alcohol consumption may have been a factor, citing a breathalyser test.",https://punchng.com/air-peace-faults-nsib-drug-alcohol-claims-insists-on-safety-record/,https://punchng.com
"Air Peace Pilots Test Positive for Drugs, Alcohol After Runw","Error establishing a Redis connection

To disable Redis, delete the object-cache.php file in the /wp-content/ directory.",https://punchng.com/breaking-air-peace-crew-tested-positive-for-alcohol-drug-nsib-report/,https://punchng.com
"So This Happened, (EP 334) reviews: FG introduces new 5% fuel tax under Harmonized Tax Act","So This Happened, (EP 334) reviews: FG introduces new 5% fuel tax under Harmonized Tax Act

Getting your Trinity Audio player ready...

All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.

Stay informed and ahead of the curve! Follow The Punch Newspaper on WhatsApp for real-time updates, breaking news, and exclusive content. Don't miss a headline – join now! Join The Punch Newspapers Channel",https://punchng.com/so-this-happened-ep-334-reviews-fg-introduces-new-5-fuel-tax-under-harmonized-tax-act/,https://punchng.com
"So This Happened, (EP 334) reviews: Petrobras plans comeback to Nigeria’s oil sector","So This Happened, (EP 334) reviews: Petrobras plans comeback to Nigeria’s oil sector

Getting your Trinity Audio player ready...

All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.

Stay informed and ahead of the curve! Follow The Punch Newspaper on WhatsApp for real-time updates, breaking news, and exclusive content. Don't miss a headline – join now! Join The Punch Newspapers Channel",https://punchng.com/so-this-happened-ep-334-reviews-petrobras-plans-comeback-to-nigerias-oil-sector/,https://punchng.com
"So This Happened, (EP 334) reviews: Phyna loses sister Ruth after tragic accident with Dangote truck","So This Happened, (EP 334) reviews: Phyna loses sister Ruth after tragic accident with Dangote truck

Getting your Trinity Audio player ready...

All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.

Stay informed and ahead of the curve! Follow The Punch Newspaper on WhatsApp for real-time updates, breaking news, and exclusive content. Don't miss a headline – join now! Join The Punch Newspapers Channel",https://punchng.com/so-this-happened-ep-334-reviews-phyna-loses-sister-ruth-after-tragic-accident-with-dangote-truck/,https://punchng.com
UI management victimising us for standing by colleagues – Suspended students,"Some University of Ibadan students who led protests against fee hikes have come forward with disturbing claims. They revealed how security operatives allegedly handed them over to soldiers, who interrogated and brutalized them before the university slammed them with a four-semester suspension.

The students insist they were only exercising their rights to protest what they described as “unjust charges” and are now demanding a full investigation into their suspension and alleged abuse. They maintain that students should not be silenced or victimized for speaking out against unfair treatment.

#UniversityOfIbadan #UI #StudentProtest #EducationRights #NigeriaStudents #viralvideo #fyp #punchnewspapers",https://punchng.com/ui-management-victimising-us-for-standing-by-colleagues-suspended-students/,https://punchng.com
Umuada: How Igbo daughters of power leave behind shadows of fear,"In Igbo culture, South-Eastern Nigeria, the Umuada hold a place of great reverence. Seen as the “levelers” of the community, this association of women is regarded as a powerful court, standing as custodians of culture, order, and justice.

However, behind this influence lies another side — stories of cruelty, intimidation, and fear. While they have been celebrated as great organisers and enforcers of tradition, they have also been accused of targeting their fellow women, leaving survivors with painful memories of humiliation and trauma.

This documentary sheds light on customs of the Umuada; their role as guardians of Igbo customs and the complex legacy of fear, repression and respect they leave behind.

It is a journey into power, culture, and survival. The story of women who stand as both protectors and enforcers in their communities.",https://punchng.com/umuada-how-igbo-daughters-of-power-leave-behind-shadows-of-fear/,https://punchng.com
"So This Happened, (EP 332) reviews: Destitute woman lynched over kidnap rumor in Ilorin","So This Happened, (EP 332) reviews: Destitute woman lynched over kidnap rumor in Ilorin

Getting your Trinity Audio player ready...

All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.

Stay informed and ahead of the curve! Follow The Punch Newspaper on WhatsApp for real-time updates, breaking news, and exclusive content. Don't miss a headline – join now! Join The Punch Newspapers Channel",https://punchng.com/so-this-happened-ep-332-reviews-destitute-woman-lynched-over-kidnap-rumor-in-ilorin/,https://punchng.com
NAFDAC seizes ₦1.2bn fake malaria drugs in Lagos,"The National Agency for Food and Drug Administration and Control has intercepted counterfeit malaria medicines valued at over ₦1.2bn in Lagos.

The agency disclosed in a statement on Friday via its official X handle that its operatives raided a warehouse in the Ilasa-Oshodi area, where 277 cartons of the fake Malamal Forte drugs were discovered.

“NAFDAC has intercepted 277 cartons of counterfeit and unregistered Malamal Forte malaria drugs, valued at over ₦1.2 billion, in a warehouse located in the Ilasa-Oshodi area of Lagos State,” NAFDAC said.

According to NAFDAC, the unregistered products were concealed in cartons labelled as Diclofenac Potassium 50mg and illegally imported from Shanxi Tianyuan Pharmaceuticals Group in China. The consignment was falsely declared as spare parts to evade detection.

NAFDAC’s Director-General, Prof. Mojisola Adeyeye, described the interception as part of a broader crackdown.

“This seizure is part of NAFDAC’s sustained nationwide operation to protect public health and ensure only safe, quality medicines are available to Nigerians,” she said.

She explained that the agency had intensified monitoring at ports and warehouses across the country, working with other security agencies to stop smugglers from flooding the market with dangerous products.

Adeyeye stressed that government backing had strengthened the agency’s fight against counterfeiters.

“NAFDAC’s Director-General, Prof. Mojisola Adeyeye, reaffirmed the Agency’s commitment, with the full support of the Presidency and Federal Ministry of Health, to eliminating counterfeit and substandard medicines from Nigeria,” the statement added.

The agency noted that the raid reinforced its warning to importers and distributors that it would not relent in its efforts to rid the market of harmful drugs capable of endangering lives.

Counterfeit and substandard medicines remain a major public health challenge in Nigeria, where malaria accounts for one of the highest disease burdens globally. The World Health Organisation estimates that Nigeria contributes about 27 per cent of global malaria cases and 31 per cent of malaria deaths.

Public health experts warn that the circulation of fake antimalarial drugs not only threatens lives but also worsens resistance to treatment, undermining years of progress in combating the disease.

NAFDAC has in recent years stepped up efforts against drug counterfeiting, with previous raids leading to seizures of fake antibiotics, pain relievers, and antimalarials worth billions of naira.

PUNCH Online reported in 2024 that in Ibadan, Oyo State, the agency destroyed smuggled, expired, and fake drugs estimated at about ₦11bn, further underscoring the persistence of the problem and the high stakes in the fight to safeguard Nigeria’s healthcare system.",https://punchng.com/nafdac-seizes-%e2%82%a61-2bn-fake-malaria-drugs-in-lagos/,https://punchng.com
Oyo Fire: Four Shops Razed in Ibadan Market,"At least four shops were razed on Friday morning at Saki Motor park, opposite Trans Amusement Park, Bodija area, in the Ibadan North Local Government Area of Oyo State.

Eyewitnesses told The PUNCH that the fire incident, which occurred around 2:00 am, was a result of embers unattended after the close of the shop in the night, ravaging four out of 11 shops before the arrival of firefighters.

Investigations further revealed that no casualty was recorded, property and goods worth millions of naira were torched by the inferno.

The state Chairman of Fire Service, Maroof Akinwande, who confirmed the incident in Ibadan, the state capital, on Friday, said the fire incident was reported at exactly 02:07 am.

He said, “The fire personnel led by ACFS Adedeji (Mrs) swiftly responded and deployed to the scene of the fire incident. Upon arrival, it was four out of 11 shops engulfed by fire, and our officers swung into action and curtailed and restricted the fire from spreading to other nearby shops and buildings. The fire was completely extinguished.

“No casualty was recorded, and the remote cause of the fire was traced to be lighted embers unattended after the close of the shop in the night, ignited by nearby combustibles, and set the place on fire. The four shops were affected by fire, and properties worth millions of naira were saved by the officers of the agency.”

Akinwande, who is also the Special Adviser to Governor Seyi Makinde on Fire Reform, therefore, advised the public to be conscious of fire and also emphasized the importance of having fire service emergency lines on their smartphones.

He further urged them to install fire extinguishers in their respective buildings to keep safe from an imminent fire incident.

“Report fire incident and give correct address, contact our emergency lines: 08067439223 and 08054353501 or 615,” the chairman added.",https://punchng.com/fire-razes-four-shops-in-oyo/,https://punchng.com
